item_nr,sa,sb,cond,cond_drop,cond_pron,obj,obj_gen,mod,v,block
I2,A: Was ist mit dem Buch?,B: Das kann ich dir empfehlen. ,full_du,full,du,Buch,n,können,empfehlen,person
I3,A: Was ist mit dem Garten?,B: Muss ich Ihnen gleich zeigen. ,drop_sie,drop,sie,Garten,m,müssen,zeigen,person
I5,A: Was ist mit der Mail?,B: Die muss ich Ihnen morgen schicken. ,full_sie,full,sie,Mail,f,müssen,schicken,person
I8,A: Was ist mit der Eintrittskarte?,B: Muss ich dir morgen vorbeibringen. ,drop_du,drop,du,Eintrittskarte,f,müssen,vorbeibringen,person
I9,A: Was ist mit dem Oberarzt?,B: Den muss ich Ihnen später vorstellen.,full_sie,full,sie,Oberarzt,m,müssen,vorstellen,person
I11,A: Was ist mit dem Antrag?,B: Muss ich Ihnen morgen nachreichen. ,drop_sie,drop,sie,Antrag,m,müssen,nachreichen,person
I14,A: Was ist mit der Küche?,B: Die kann ich dir abkaufen. ,full_du,full,du,Küche,f,können,abkaufen,person
I16,A: Was ist mit dem Film?,B: Muss ich dir gleich vorspielen. ,drop_du,drop,du,Film,m,müssen,vorspielen,person
I1,A: Was ist mit der Zeitschrift?,B: Die muss ich Ihnen morgen zurückgeben.,full_sie,full,sie,Zeitschrift,f,müssen,zrückgeben,relation
I4,A: Was ist mit dem Spiel?,B: Muss ich dir noch erklären.,drop_du,drop,du,Spiel,n,müssen,erklären,relation
I6,A: Was ist mit dem Artikel?,B: Den kann ich dir später weiterleiten.,full_du,full,du,Artikel,m,können,weiterleiten,relation
I7,A: Was ist mit dem Kaffee? ,B: Kann ich Ihnen gleich bringen?,drop_sie,drop,sie,Kaffee,m,können,bringen,relation
I10,A: Was ist mit dem Ergebnis?,B: Das kann ich dir gleich mitteilen.,full_du,full,du,Ergebnis,n,können,mitteilen,relation
I12,A: Was ist mit dem Stift?,B: Kann ich dir bis morgen ausleihen. ,drop_du,drop,du,Stift,m,können,ausleihen,relation
I13,A: Was ist mit dem Geschirr?,B: Die kann ich Ihnen überlassen.,full_sie,full,sie,Geschirr,n,können,überlassen,relation
I15,Was ist mit dem Formular?,B: Kann ich Ihnen gleich ausfüllen.,drop_sie,drop,sie,Formular,n,können,ausfüllen,relation
